Parameter,Importance
max_features,0.48770705001391707
bootstrap,0.29640120286108756
min_samples_split,0.09652940260605612
max_depth,0.057409728972198114
n_estimators,0.0342119511059329
min_samples_leaf,0.027740664440808065
