number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
41,0.37465143465629597,2025-04-27 22:04:00.181933,2025-04-27 22:04:02.245878,0 days 00:00:02.063945,False,14,log2,5,2,300,COMPLETE
42,0.37465166614581524,2025-04-27 22:04:02.246847,2025-04-27 22:04:04.228933,0 days 00:00:01.982086,False,14,log2,5,2,288,COMPLETE
43,0.374651434656296,2025-04-27 22:04:04.229777,2025-04-27 22:04:06.228278,0 days 00:00:01.998501,False,14,log2,5,2,287,COMPLETE
44,0.3733601861175736,2025-04-27 22:04:06.229130,2025-04-27 22:04:08.100650,0 days 00:00:01.871520,False,15,log2,5,3,283,COMPLETE
45,0.3744361494033358,2025-04-27 22:04:08.101614,2025-04-27 22:04:10.028619,0 days 00:00:01.927005,False,17,log2,5,2,269,COMPLETE
46,0.37335995462805427,2025-04-27 22:04:10.029334,2025-04-27 22:04:11.822490,0 days 00:00:01.793156,False,14,log2,4,3,245,COMPLETE
47,0.374220401171337,2025-04-27 22:04:11.823342,2025-04-27 22:04:13.867229,0 days 00:00:02.043887,False,13,log2,5,2,288,COMPLETE
48,0.3720687060893318,2025-04-27 22:04:13.868158,2025-04-27 22:04:15.791180,0 days 00:00:01.923022,False,16,sqrt,5,3,260,COMPLETE
49,0.29847286364109865,2025-04-27 22:04:15.792011,2025-04-27 22:04:16.475451,0 days 00:00:00.683440,False,11,,4,2,86,COMPLETE
50,0.37400604187645403,2025-04-27 22:04:16.475687,2025-04-27 22:04:18.488448,0 days 00:00:02.012761,False,15,log2,5,2,293,COMPLETE
51,0.374651434656296,2025-04-27 22:04:18.489298,2025-04-27 22:04:20.684797,0 days 00:00:02.195499,False,14,log2,5,2,296,COMPLETE
52,0.3740058103869347,2025-04-27 22:04:20.685724,2025-04-27 22:04:22.704191,0 days 00:00:02.018467,False,14,log2,5,3,278,COMPLETE
53,0.37443568642429714,2025-04-27 22:04:22.705046,2025-04-27 22:04:24.804592,0 days 00:00:02.099546,False,13,log2,5,2,292,COMPLETE
54,0.37357570286005304,2025-04-27 22:04:24.805537,2025-04-27 22:04:26.860126,0 days 00:00:02.054589,False,15,log2,5,2,300,COMPLETE
55,0.3742210956398949,2025-04-27 22:04:26.861050,2025-04-27 22:04:28.680033,0 days 00:00:01.818983,False,14,log2,5,3,275,COMPLETE
56,0.3716388300519694,2025-04-27 22:04:28.680700,2025-04-27 22:04:30.537645,0 days 00:00:01.856945,False,12,log2,4,2,265,COMPLETE
57,0.3744361494033358,2025-04-27 22:04:30.538515,2025-04-27 22:04:32.353203,0 days 00:00:01.814688,False,17,log2,5,5,253,COMPLETE
58,0.3727147933377316,2025-04-27 22:04:32.354150,2025-04-27 22:04:34.620028,0 days 00:00:02.265878,False,13,log2,4,3,290,COMPLETE
59,0.371422618840932,2025-04-27 22:04:34.620872,2025-04-27 22:04:36.580375,0 days 00:00:01.959503,False,16,sqrt,5,4,274,COMPLETE
60,0.373575702860053,2025-04-27 22:04:36.581355,2025-04-27 22:04:38.458239,0 days 00:00:01.876884,False,15,log2,5,2,281,COMPLETE
61,0.37465143465629597,2025-04-27 22:04:38.459104,2025-04-27 22:04:40.553403,0 days 00:00:02.094299,False,14,log2,5,2,300,COMPLETE
62,0.37465074018773803,2025-04-27 22:04:40.554308,2025-04-27 22:04:42.419651,0 days 00:00:01.865343,False,13,log2,5,2,295,COMPLETE
63,0.3714221558618934,2025-04-27 22:04:42.420494,2025-04-27 22:04:44.723721,0 days 00:00:02.303227,False,11,log2,5,3,287,COMPLETE
64,0.37357570286005304,2025-04-27 22:04:44.724676,2025-04-27 22:04:46.757198,0 days 00:00:02.032522,False,15,log2,5,2,300,COMPLETE
65,0.37271433035869306,2025-04-27 22:04:46.758039,2025-04-27 22:04:48.627462,0 days 00:00:01.869423,False,12,log2,5,3,263,COMPLETE
66,0.3720680116207739,2025-04-27 22:04:48.628408,2025-04-27 22:04:49.797908,0 days 00:00:01.169500,False,14,log2,5,2,149,COMPLETE
67,0.25521858397861036,2025-04-27 22:04:49.798772,2025-04-27 22:04:51.844352,0 days 00:00:02.045580,False,15,,4,2,279,COMPLETE
68,0.37421947521325977,2025-04-27 22:04:51.844770,2025-04-27 22:04:53.067058,0 days 00:00:01.222288,False,16,log2,5,3,164,COMPLETE
69,0.3744361494033358,2025-04-27 22:04:53.067873,2025-04-27 22:04:55.108271,0 days 00:00:02.040398,False,14,log2,5,2,272,COMPLETE
70,0.3724999710638101,2025-04-27 22:04:55.109220,2025-04-27 22:04:57.184040,0 days 00:00:02.074820,False,13,log2,4,2,284,COMPLETE
71,0.37465143465629597,2025-04-27 22:04:57.185003,2025-04-27 22:04:59.158134,0 days 00:00:01.973131,False,14,log2,5,2,300,COMPLETE
72,0.3746516661458152,2025-04-27 22:04:59.159101,2025-04-27 22:05:01.230850,0 days 00:00:02.071749,False,14,log2,5,2,294,COMPLETE
73,0.37443568642429714,2025-04-27 22:05:01.231787,2025-04-27 22:05:03.242305,0 days 00:00:02.010518,False,13,log2,5,3,293,COMPLETE
74,0.3744361494033358,2025-04-27 22:05:03.243072,2025-04-27 22:05:05.320874,0 days 00:00:02.077802,False,15,log2,5,2,288,COMPLETE
75,0.3720691690683704,2025-04-27 22:05:05.321725,2025-04-27 22:05:07.210956,0 days 00:00:01.889231,False,12,log2,5,2,281,COMPLETE
76,0.37056217229764926,2025-04-27 22:05:07.211889,2025-04-27 22:05:08.164220,0 days 00:00:00.952331,False,16,sqrt,5,3,131,COMPLETE
77,0.3729298471011725,2025-04-27 22:05:08.165069,2025-04-27 22:05:10.157320,0 days 00:00:01.992251,False,12,log2,5,2,270,COMPLETE
78,0.3746516661458152,2025-04-27 22:05:10.158301,2025-04-27 22:05:12.092603,0 days 00:00:01.934302,False,14,log2,5,4,294,COMPLETE
79,0.2582307256038983,2025-04-27 22:05:12.093438,2025-04-27 22:05:12.668623,0 days 00:00:00.575185,False,15,,5,5,50,COMPLETE
80,0.37163767260437286,2025-04-27 22:05:12.668825,2025-04-27 22:05:14.557520,0 days 00:00:01.888695,False,17,log2,4,4,258,COMPLETE
81,0.3746516661458152,2025-04-27 22:05:14.558491,2025-04-27 22:05:16.564980,0 days 00:00:02.006489,False,14,log2,5,6,295,COMPLETE
82,0.37443568642429714,2025-04-27 22:05:16.565825,2025-04-27 22:05:18.570474,0 days 00:00:02.004649,False,13,log2,5,6,293,COMPLETE
83,0.3742210956398949,2025-04-27 22:05:18.571314,2025-04-27 22:05:20.644348,0 days 00:00:02.073034,False,14,log2,5,8,285,COMPLETE
84,0.3740058103869347,2025-04-27 22:05:20.645199,2025-04-27 22:05:22.371300,0 days 00:00:01.726101,False,14,log2,5,6,277,COMPLETE
