feature,importance
Pos_OL,0.0012913268833552316
Pos_DL,0.0013564307897064043
Pos_C,0.0016835663567286029
Pos_LB,0.002263276539417066
Pos_DB,0.002348838672284692
Pos_FB,0.0024341574112239565
Pos_EDGE,0.0029643201482938675
Pos_OG,0.0031932944147114125
Pos_ILB,0.0042722876882410575
Pos_TE,0.004310137669189574
Pos_DT,0.004398300770793718
Pos_QB,0.004892884295567968
Pos_S,0.00649296426569256
Pos_DE,0.006757842101517485
Pos_CB,0.006795773222786773
Pos_OLB,0.007076060197063207
Pos_OT,0.007398637028392506
Pos_RB,0.008555445766400419
Pos_WR,0.013940100337953508
Ht,0.07373649182286594
Vertical,0.0939532802760791
Bench,0.1003993895619893
Broad Jump,0.10565174206737726
Shuttle,0.11280137889628657
3Cone,0.11705856905873736
Wt,0.12762243722424207
40yd,0.17635106653310248
