Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
OLB,72,233,4.56,36.0,22.0,120.0,,,2
S,72,189,4.53,38.5,,118.0,,4.2,7
FB,72,253,4.78,28.5,25.0,108.0,7.08,4.34,7
DT,74,307,4.87,30.0,27.0,105.0,7.37,4.6,8
DE,75,297,4.9,31.0,30.0,111.0,7.63,4.62,2
OLB,75,253,4.97,31.5,20.0,109.0,7.12,4.21,5
WR,74,206,4.52,,,,,,8
RB,68,191,4.44,38.0,18.0,123.0,6.62,3.82,8
DE,74,271,5.03,32.0,,111.0,7.86,4.51,8
RB,72,237,4.66,34.5,21.0,118.0,7.48,4.44,8
WR,73,201,4.54,36.0,,116.0,7.57,4.41,8
QB,70,192,4.81,,,106.0,,,7
RB,72,197,4.5,32.0,17.0,125.0,6.97,4.07,6
FB,70,238,4.81,30.0,,109.0,7.27,4.36,8
CB,69,186,4.34,39.0,16.0,121.0,6.75,4.01,6
CB,72,190,4.53,34.5,,114.0,6.73,4.25,7
CB,70,190,4.5,37.5,16.0,119.0,7.12,4.25,3
WR,71,204,4.5,,,,7.33,4.18,5
OG,73,312,5.4,29.0,20.0,94.0,7.94,4.63,8
OG,76,297,5.23,,,,,,8
WR,73,215,4.54,34.5,,116.0,7.14,4.21,8
P,74,234,,,,,,,8
DT,74,305,4.99,30.0,35.0,101.0,6.85,4.16,1
DE,76,281,5.09,29.0,,108.0,7.0,4.32,2
CB,71,190,4.55,,,,,,8
CB,71,186,4.56,,16.0,,6.98,4.13,7
DE,75,254,5.1,34.0,21.0,119.0,,,8
QB,75,216,5.2,27.5,,99.0,7.17,4.41,6
WR,72,192,4.7,,,,,,8
DT,75,324,5.12,,,,,,4
DT,77,296,5.05,31.5,19.0,105.0,7.69,4.72,6
DT,76,319,5.2,,28.0,,,,8
OG,75,304,5.2,,19.0,,,,8
WR,72,197,4.56,,,,,,3
QB,72,226,4.68,,,109.0,,,7
RB,73,242,4.6,35.5,24.0,125.0,7.15,4.14,8
OG,75,320,5.62,25.5,24.0,94.0,8.51,5.22,6
K,73,260,,,,,,,1
RB,70,184,4.5,,18.0,118.0,,,8
S,72,198,4.51,38.0,16.0,123.0,6.91,4.14,8
OG,78,310,5.25,29.0,,107.0,7.9,4.66,8
OG,76,345,5.56,28.0,35.0,99.0,8.07,4.99,5
QB,74,226,4.95,29.5,,96.0,,,8
DT,76,285,4.97,28.0,26.0,105.0,7.51,4.76,8
S,72,215,4.6,38.0,12.0,121.0,6.96,4.17,7
DT,72,293,5.03,28.5,26.0,102.0,,,4
WR,72,191,4.66,,,,,,8
OLB,73,240,4.68,,29.0,,,,6
OLB,74,247,4.95,32.0,17.0,113.0,7.27,4.39,8
TE,76,248,4.63,38.5,13.0,125.0,7.33,4.43,8
RB,70,216,4.45,,,,,,1
OG,76,330,5.46,31.0,25.0,104.0,7.91,4.76,3
RB,73,221,4.62,37.5,29.0,121.0,6.81,4.16,8
RB,70,214,4.41,41.5,23.0,131.0,6.82,3.93,4
S,73,200,4.55,36.5,15.0,120.0,6.96,4.31,8
FB,71,235,4.74,,,,,,8
CB,69,183,4.53,36.0,17.0,116.0,6.63,3.95,3
FB,72,251,4.84,35.0,24.0,119.0,,,8
S,73,221,4.71,33.5,8.0,113.0,7.08,4.38,2
S,71,188,4.65,,,,7.12,4.2,8
P,70,195,,,,,,,8
TE,78,272,4.9,,,,,,3
OT,76,307,4.98,,24.0,,,,2
OG,74,305,5.43,28.0,26.0,103.0,7.54,4.6,7
WR,73,180,4.72,28.5,,106.0,7.11,4.38,8
OG,76,299,5.09,,21.0,,,,8
CB,71,190,4.42,34.0,,125.0,,,4
DT,76,300,5.08,30.0,45.0,110.0,7.46,4.37,6
P,74,234,,,,,,,5
WR,73,202,4.56,35.5,,125.0,7.3,4.25,7
QB,72,202,5.02,27.0,,97.0,7.28,4.24,8
RB,72,240,4.58,,23.0,,,,1
WR,75,194,4.53,35.0,,121.0,,,4
DT,73,294,5.0,36.0,28.0,108.0,7.44,4.56,8
WR,74,182,4.61,36.5,,122.0,7.16,4.26,8
ILB,76,259,4.7,35.0,22.0,118.0,6.86,4.06,3
CB,69,194,4.54,37.5,,120.0,6.9,4.09,3
CB,69,184,4.44,35.5,20.0,117.0,6.73,4.0,5
QB,74,227,4.58,34.5,,113.0,,,5
TE,77,271,5.0,29.0,,101.0,,,8
