feature,importance
Ht,0.02019248501929139
Wt,0.25145974214567246
40yd,0.04232722655234319
Vertical,0.0
Bench,0.001566807009582146
Broad Jump,0.15508010170788777
3Cone,0.03066336981448882
Shuttle,0.0519742491085879
Pos_C,0.009297056067987855
Pos_CB,4.163645203848162e-05
Pos_DB,0.051873339904690466
Pos_DE,0.00199487062117767
Pos_DL,0.014463524165475842
Pos_DT,0.0
Pos_EDGE,0.005436990740858675
Pos_FB,0.01732811572011617
Pos_ILB,0.0
Pos_LB,0.004800405274439201
Pos_OG,0.0015701733489245902
Pos_OL,0.00014102832433250662
Pos_OLB,0.010121521718982885
Pos_OT,0.008216830559621706
Pos_QB,0.0933439203672676
Pos_RB,0.1415519644278427
Pos_S,0.0
Pos_TE,0.00023364549647149596
Pos_WR,0.08632099545191846
