number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
31,0.3832589094528745,2025-04-28 06:48:07.541117,2025-04-28 06:52:30.722794,0 days 00:04:23.181677,32,1.2088713275784675,0.00689845385037933,0.007458842050419016,51,48,3,COMPLETE
32,0.38347581513246987,2025-04-28 06:52:30.723018,2025-04-28 06:56:12.385587,0 days 00:03:41.662569,32,1.2107926524925476,0.0006283191414157062,0.0056299541455909425,46,48,3,COMPLETE
33,0.383044087178953,2025-04-28 06:56:12.385826,2025-04-28 07:00:13.283297,0 days 00:04:00.897471,32,1.2406719791425496,0.0006510223395130618,0.0055596895374765065,40,60,3,COMPLETE
34,0.3791717304999016,2025-04-28 07:00:13.283526,2025-04-28 07:03:19.173937,0 days 00:03:05.890411,32,1.2022506056057543,0.00038857507522625274,0.004023030197352882,47,49,3,COMPLETE
35,0.3821841036147089,2025-04-28 07:03:19.174170,2025-04-28 07:05:02.335239,0 days 00:01:43.161069,64,1.4073514970700878,0.0066648373782982285,0.00685285947917804,59,34,3,COMPLETE
36,0.380028936189914,2025-04-28 07:05:02.335471,2025-04-28 07:09:52.063861,0 days 00:04:49.728390,32,1.0725612814366796,0.00030187801334795187,0.0027296735906830755,37,48,4,COMPLETE
37,0.37766288181302593,2025-04-28 07:09:52.064091,2025-04-28 07:11:08.353245,0 days 00:01:16.289154,64,1.3106251688985047,0.0007346263577954936,0.004793500673594061,42,52,2,COMPLETE
38,0.38282857043647345,2025-04-28 07:11:08.353475,2025-04-28 07:15:00.065014,0 days 00:03:51.711539,32,1.4210842501941445,0.0030530846140517103,0.007892102954882784,33,56,3,COMPLETE
39,0.3688403532530065,2025-04-28 07:15:00.065239,2025-04-28 07:15:56.759642,0 days 00:00:56.694403,128,1.0046833820052752,0.0019273954291544372,0.001512078049251898,51,64,4,COMPLETE
40,0.37228375985277273,2025-04-28 07:15:56.759869,2025-04-28 07:16:23.207274,0 days 00:00:26.447405,256,1.2454682946978428,0.00012706993813069886,0.003326543267354923,29,24,2,COMPLETE
41,0.3785254117619825,2025-04-28 07:16:23.207493,2025-04-28 07:20:44.230206,0 days 00:04:21.022713,32,1.2476525774934926,0.0004793985991297792,0.0057936466733357755,41,61,3,COMPLETE
42,0.38067664386494904,2025-04-28 07:20:44.230474,2025-04-28 07:24:06.741102,0 days 00:03:22.510628,32,1.2096921687311446,0.0007713299759340844,0.005975719977129395,23,60,3,COMPLETE
43,0.3778797874926213,2025-04-28 07:24:06.741330,2025-04-28 07:27:23.583016,0 days 00:03:16.841686,32,1.298950213453067,0.0005475657664248036,0.004452787007133497,37,59,3,COMPLETE
44,0.3839049967012743,2025-04-28 07:27:23.583249,2025-04-28 07:30:49.333292,0 days 00:03:25.750043,32,1.1347850767188912,0.0002872285863512058,0.007788188112632491,40,51,3,COMPLETE
45,0.3808900772017546,2025-04-28 07:30:49.333527,2025-04-28 07:34:17.175614,0 days 00:03:27.842087,32,1.126713851928418,0.00026803400763412104,0.008199112999738384,46,49,3,COMPLETE
46,0.3733608805861315,2025-04-28 07:34:17.175843,2025-04-28 07:34:58.832036,0 days 00:00:41.656193,128,1.0715266707800406,0.0003017093423341143,0.0077344510311663,49,51,3,COMPLETE
47,0.38003356598030025,2025-04-28 07:34:58.832272,2025-04-28 07:37:42.847450,0 days 00:02:44.015178,32,1.155813876383686,0.00016475761987012397,0.002524985973432084,39,43,2,COMPLETE
48,0.36819403451508737,2025-04-28 07:37:42.847685,2025-04-28 07:41:44.328009,0 days 00:04:01.480324,32,1.1233947855011854,0.007410528076079477,0.0002477837811592625,52,46,3,COMPLETE
49,0.37938562681574595,2025-04-28 07:41:44.328243,2025-04-28 07:44:25.224609,0 days 00:02:40.896366,64,1.1835625183530274,0.00020650110072590743,0.009654954414170991,56,55,5,COMPLETE
50,0.37443684387189374,2025-04-28 07:44:25.224845,2025-04-28 07:49:04.668640,0 days 00:04:39.443795,32,1.0569878858036057,0.0004793593099076482,0.0007099709094522957,62,38,3,COMPLETE
51,0.3813204162181557,2025-04-28 07:49:04.668878,2025-04-28 07:52:38.630620,0 days 00:03:33.961742,32,1.2314593758100476,0.0005727333927489595,0.005890465053416509,40,51,3,COMPLETE
52,0.3795997546211095,2025-04-28 07:52:38.630861,2025-04-28 07:56:53.493880,0 days 00:04:14.863019,32,1.3049082323384342,0.001109366389482403,0.005332007751380449,32,61,3,COMPLETE
53,0.38110790883942725,2025-04-28 07:56:53.494113,2025-04-28 08:00:35.353667,0 days 00:03:41.859554,32,1.1366386423077792,0.0008172507730363935,0.007121249676118932,36,58,3,COMPLETE
