number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
41,0.539489565609917,2025-04-27 22:00:27.599821,2025-04-27 22:00:29.417652,0 days 00:00:01.817831,True,16,log2,3,3,207,COMPLETE
42,0.541425975438962,2025-04-27 22:00:29.418631,2025-04-27 22:00:31.298125,0 days 00:00:01.879494,True,16,log2,3,3,236,COMPLETE
43,0.534755373450467,2025-04-27 22:00:31.298907,2025-04-27 22:00:33.406532,0 days 00:00:02.107625,True,15,log2,3,3,236,COMPLETE
44,0.5394893341203977,2025-04-27 22:00:33.407386,2025-04-27 22:00:35.611652,0 days 00:00:02.204266,True,16,log2,3,3,255,COMPLETE
45,0.529805896038057,2025-04-27 22:00:35.612511,2025-04-27 22:00:37.618505,0 days 00:00:02.005994,True,18,log2,4,2,233,COMPLETE
46,0.5336803361227821,2025-04-27 22:00:37.619365,2025-04-27 22:00:39.419929,0 days 00:00:01.800564,True,19,log2,3,4,205,COMPLETE
47,0.5358345775894996,2025-04-27 22:00:39.420858,2025-04-27 22:00:41.235786,0 days 00:00:01.814928,True,16,log2,2,2,213,COMPLETE
48,0.5304536037130919,2025-04-27 22:00:41.236698,2025-04-27 22:00:41.869962,0 days 00:00:00.633264,True,14,log2,4,3,54,COMPLETE
49,0.42178154334062523,2025-04-27 22:00:41.870836,2025-04-27 22:00:43.955556,0 days 00:00:02.084720,False,16,,3,2,300,COMPLETE
50,0.5371249001701448,2025-04-27 22:00:43.955884,2025-04-27 22:00:45.674680,0 days 00:00:01.718796,True,18,log2,5,5,187,COMPLETE
51,0.5397046193733578,2025-04-27 22:00:45.675533,2025-04-27 22:00:47.927798,0 days 00:00:02.252265,True,16,log2,3,3,256,COMPLETE
52,0.5330337858953437,2025-04-27 22:00:47.928719,2025-04-27 22:00:50.337195,0 days 00:00:02.408476,True,15,log2,3,3,274,COMPLETE
53,0.5377686725233515,2025-04-27 22:00:50.338106,2025-04-27 22:00:52.319426,0 days 00:00:01.981320,True,17,log2,3,4,229,COMPLETE
54,0.5341104436496638,2025-04-27 22:00:52.320241,2025-04-27 22:00:54.368098,0 days 00:00:02.047857,True,15,log2,3,2,250,COMPLETE
55,0.5356185978679815,2025-04-27 22:00:54.368880,2025-04-27 22:00:56.447572,0 days 00:00:02.078692,True,16,log2,2,3,218,COMPLETE
56,0.5332497656168617,2025-04-27 22:00:56.448425,2025-04-27 22:00:58.756430,0 days 00:00:02.308005,True,13,sqrt,3,4,263,COMPLETE
57,0.5330347118534208,2025-04-27 22:00:58.757406,2025-04-27 22:01:00.820180,0 days 00:00:02.062774,True,14,log2,3,2,242,COMPLETE
58,0.5291609662372536,2025-04-27 22:01:00.821098,2025-04-27 22:01:02.701479,0 days 00:00:01.880381,True,18,log2,4,2,207,COMPLETE
59,0.5282995937358935,2025-04-27 22:01:02.702370,2025-04-27 22:01:04.687202,0 days 00:00:01.984832,False,12,log2,2,3,283,COMPLETE
60,0.5366929407271087,2025-04-27 22:01:04.687954,2025-04-27 22:01:06.123699,0 days 00:00:01.435745,True,17,log2,3,3,171,COMPLETE
61,0.5399199046263181,2025-04-27 22:01:06.124516,2025-04-27 22:01:08.160636,0 days 00:00:02.036120,True,16,log2,3,3,252,COMPLETE
62,0.5336798731437434,2025-04-27 22:01:08.161553,2025-04-27 22:01:10.169509,0 days 00:00:02.007956,True,15,log2,3,4,253,COMPLETE
63,0.5409958679120803,2025-04-27 22:01:10.170411,2025-04-27 22:01:12.256700,0 days 00:00:02.086289,True,16,log2,3,3,228,COMPLETE
64,0.5375533872703914,2025-04-27 22:01:12.257558,2025-04-27 22:01:14.365779,0 days 00:00:02.108221,True,17,log2,3,2,247,COMPLETE
65,0.5332490711483038,2025-04-27 22:01:14.366755,2025-04-27 22:01:16.319034,0 days 00:00:01.952279,True,19,log2,3,3,227,COMPLETE
66,0.5334638934222253,2025-04-27 22:01:16.319987,2025-04-27 22:01:18.340176,0 days 00:00:02.020189,True,15,log2,3,2,233,COMPLETE
67,0.533464356401264,2025-04-27 22:01:18.341040,2025-04-27 22:01:20.631375,0 days 00:00:02.290335,True,14,log2,3,4,263,COMPLETE
68,0.4986018033033555,2025-04-27 22:01:20.632310,2025-04-27 22:01:25.584637,0 days 00:00:04.952327,True,4,sqrt,2,5,275,COMPLETE
69,0.5302364665439773,2025-04-27 22:01:25.585499,2025-04-27 22:01:27.463207,0 days 00:00:01.877708,True,18,log2,4,7,222,COMPLETE
70,0.5323914024792528,2025-04-27 22:01:27.464139,2025-04-27 22:01:29.115083,0 days 00:00:01.650944,True,16,,3,2,239,COMPLETE
71,0.5399196731367988,2025-04-27 22:01:29.115685,2025-04-27 22:01:30.863043,0 days 00:00:01.747358,True,16,log2,3,3,201,COMPLETE
72,0.5360475479472667,2025-04-27 22:01:30.863910,2025-04-27 22:01:32.569897,0 days 00:00:01.705987,True,17,log2,3,3,200,COMPLETE
73,0.5377679780547936,2025-04-27 22:01:32.570584,2025-04-27 22:01:34.290330,0 days 00:00:01.719746,True,16,log2,3,3,190,COMPLETE
74,0.5321726448835029,2025-04-27 22:01:34.291178,2025-04-27 22:01:36.157943,0 days 00:00:01.866765,True,15,log2,3,4,217,COMPLETE
75,0.5330356378114981,2025-04-27 22:01:36.158553,2025-04-27 22:01:37.888325,0 days 00:00:01.729772,True,17,log2,3,8,198,COMPLETE
76,0.5263608690116555,2025-04-27 22:01:37.888884,2025-04-27 22:01:39.157798,0 days 00:00:01.268914,False,14,log2,3,2,160,COMPLETE
77,0.5334638934222253,2025-04-27 22:01:39.158732,2025-04-27 22:01:40.789889,0 days 00:00:01.631157,True,15,log2,3,3,178,COMPLETE
78,0.5321740338206189,2025-04-27 22:01:40.790759,2025-04-27 22:01:42.702437,0 days 00:00:01.911678,True,16,log2,4,3,210,COMPLETE
79,0.5310985335138951,2025-04-27 22:01:42.703292,2025-04-27 22:01:44.704844,0 days 00:00:02.001552,True,17,log2,2,4,222,COMPLETE
80,0.5373376390383926,2025-04-27 22:01:44.705752,2025-04-27 22:01:46.829648,0 days 00:00:02.123896,True,20,sqrt,3,2,256,COMPLETE
81,0.539489565609917,2025-04-27 22:01:46.830792,2025-04-27 22:01:48.585134,0 days 00:00:01.754342,True,16,log2,3,3,207,COMPLETE
82,0.541425975438962,2025-04-27 22:01:48.585805,2025-04-27 22:01:50.544519,0 days 00:00:01.958714,True,16,log2,3,3,245,COMPLETE
83,0.5349701957243886,2025-04-27 22:01:50.545427,2025-04-27 22:01:52.586733,0 days 00:00:02.041306,True,18,log2,3,3,243,COMPLETE
84,0.5416412606919221,2025-04-27 22:01:52.587745,2025-04-27 22:01:54.687226,0 days 00:00:02.099481,True,16,log2,3,3,234,COMPLETE
85,0.5323881616259825,2025-04-27 22:01:54.688067,2025-04-27 22:01:56.636619,0 days 00:00:01.948552,True,15,log2,3,4,235,COMPLETE
86,0.5403502436427191,2025-04-27 22:01:56.637477,2025-04-27 22:01:58.886893,0 days 00:00:02.249416,True,16,log2,3,3,269,COMPLETE
87,0.5310978390453372,2025-04-27 22:01:58.887836,2025-04-27 22:02:00.755712,0 days 00:00:01.867876,True,17,,3,4,266,COMPLETE
88,0.5330347118534208,2025-04-27 22:02:00.756043,2025-04-27 22:02:02.759933,0 days 00:00:02.003890,True,13,log2,3,3,248,COMPLETE
89,0.5248552611780501,2025-04-27 22:02:02.760892,2025-04-27 22:02:04.658760,0 days 00:00:01.897868,False,14,log2,3,3,280,COMPLETE
90,0.5377686725233515,2025-04-27 22:02:04.659282,2025-04-27 22:02:06.700683,0 days 00:00:02.041401,True,17,log2,3,3,229,COMPLETE
91,0.539919904626318,2025-04-27 22:02:06.701191,2025-04-27 22:02:08.938793,0 days 00:00:02.237602,True,16,log2,3,3,268,COMPLETE
92,0.5343248029445468,2025-04-27 22:02:08.939726,2025-04-27 22:02:10.919683,0 days 00:00:01.979957,True,15,log2,3,3,271,COMPLETE
93,0.5390596895725547,2025-04-27 22:02:10.919881,2025-04-27 22:02:13.066953,0 days 00:00:02.147072,True,16,log2,3,4,258,COMPLETE
94,0.5334641249117447,2025-04-27 22:02:13.067747,2025-04-27 22:02:16.689543,0 days 00:00:03.621796,True,7,log2,3,3,294,COMPLETE
95,0.5394893341203977,2025-04-27 22:02:16.690644,2025-04-27 22:02:19.070656,0 days 00:00:02.380012,True,16,log2,3,2,290,COMPLETE
96,0.5323883931155017,2025-04-27 22:02:19.071326,2025-04-27 22:02:21.306126,0 days 00:00:02.234800,True,15,log2,3,3,267,COMPLETE
97,0.5375529242913528,2025-04-27 22:02:21.307172,2025-04-27 22:02:23.444829,0 days 00:00:02.137657,True,17,log2,3,3,249,COMPLETE
98,0.5354014606988667,2025-04-27 22:02:23.445717,2025-04-27 22:02:25.538166,0 days 00:00:02.092449,True,18,log2,3,4,231,COMPLETE
99,0.5330335544058242,2025-04-27 22:02:25.539117,2025-04-27 22:02:27.585955,0 days 00:00:02.046838,True,16,log2,4,2,237,COMPLETE
