feature,importance
Round,0.04329403862848713
Vertical,0.060938774303591334
Broad Jump,0.07368819883669048
Shuttle,0.08342354543648242
Bench,0.08742359981195798
3Cone,0.08834215986299121
40yd,0.1423117387606816
Ht,0.14820016923239945
Wt,0.2723777751267183
