Parameter,Importance
max_features,0.5111628585356645
bootstrap,0.1892025647574909
max_depth,0.18848385211555466
n_estimators,0.05624820691344885
min_samples_split,0.044245285307506085
min_samples_leaf,0.010657232370334863
