number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
28,0.5446499228477478,2025-04-27 22:17:58.370785,2025-04-27 22:18:37.678560,0 days 00:00:39.307775,32,0.15046280660338318,0.14666461515112747,0.0004675250038955913,233,76,COMPLETE
29,0.49494218826293945,2025-04-27 22:18:37.678791,2025-04-27 22:18:59.361438,0 days 00:00:21.682647,128,0.38923385593055304,0.4550273989666133,0.0002097735354643709,158,103,COMPLETE
30,0.5429290413856507,2025-04-27 22:18:59.361692,2025-04-27 22:19:21.873269,0 days 00:00:22.511577,64,0.345858933194631,0.41755989053345327,0.0015682715232239331,188,87,COMPLETE
31,0.5450811982154846,2025-04-27 22:19:21.873631,2025-04-27 22:19:49.623951,0 days 00:00:27.750320,64,0.32889434308713045,0.3549860882436774,0.0008487006594387696,244,96,COMPLETE
32,0.5463701248168945,2025-04-27 22:19:49.624348,2025-04-27 22:20:17.375979,0 days 00:00:27.751631,64,0.2816336711098389,0.29089137187899994,0.0006563240373016708,255,101,COMPLETE
33,0.5463712930679321,2025-04-27 22:20:17.376214,2025-04-27 22:20:42.909916,0 days 00:00:25.533702,64,0.27648684568276155,0.2826427105724905,0.0011039004724273918,223,120,COMPLETE
34,0.5397011637687683,2025-04-27 22:20:42.910152,2025-04-27 22:21:08.375249,0 days 00:00:25.465097,64,0.23845429776421695,0.22153035205533753,0.0010039994108331878,211,117,COMPLETE
35,0.5379777073860168,2025-04-27 22:21:08.375482,2025-04-27 22:21:26.177029,0 days 00:00:17.801547,64,0.25630726402547616,0.32644110062905407,0.0021839325275355096,226,109,COMPLETE
36,0.5403477072715759,2025-04-27 22:21:26.177261,2025-04-27 22:22:03.466366,0 days 00:00:37.289105,16,0.18800062894759983,0.14290858938957388,0.0010364426310934024,133,128,COMPLETE
37,0.5431429386138916,2025-04-27 22:22:03.466633,2025-04-27 22:22:32.143403,0 days 00:00:28.676770,64,0.24893622576770905,0.4029339669740103,0.0003596886310421041,206,120,COMPLETE
38,0.5392680287361145,2025-04-27 22:22:32.143676,2025-04-27 22:22:54.384588,0 days 00:00:22.240912,32,0.2067966889347983,0.20049373265459366,0.0013921719008015785,189,90,COMPLETE
39,0.4878410041332245,2025-04-27 22:22:54.384822,2025-04-27 22:23:18.838450,0 days 00:00:24.453628,64,0.40203200489745683,0.28088036868002014,0.0001579314221931235,99,64,COMPLETE
40,0.5446510910987854,2025-04-27 22:23:18.838692,2025-04-27 22:23:47.411687,0 days 00:00:28.572995,64,0.29562371163430373,0.37054126275584054,0.0005198520375526871,239,113,COMPLETE
41,0.543790876865387,2025-04-27 22:23:47.411926,2025-04-27 22:24:15.797410,0 days 00:00:28.385484,64,0.2797669168352435,0.29387796444252634,0.0005974767133929522,222,104,COMPLETE
42,0.5450823545455933,2025-04-27 22:24:15.797643,2025-04-27 22:24:43.706129,0 days 00:00:27.908486,64,0.28030214873629894,0.24792200210119086,0.0007819701716798701,256,107,COMPLETE
