number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
32,0.38648748993873594,2025-04-27 23:06:49.034085,2025-04-27 23:07:03.630880,0 days 00:00:14.596795,64,0.44230378643458224,0.3114997081091218,0.0024259756084932227,199,23,COMPLETE
33,0.38089215755462646,2025-04-27 23:07:03.631113,2025-04-27 23:07:13.734794,0 days 00:00:10.103681,64,0.2818791944391139,0.2305917289463963,0.004824154153870543,237,84,COMPLETE
34,0.3817530632019043,2025-04-27 23:07:13.735063,2025-04-27 23:07:49.143229,0 days 00:00:35.408166,32,0.3931564335459784,0.2003913090237816,0.00010522349280200795,130,66,COMPLETE
35,0.3854110658168793,2025-04-27 23:07:49.143461,2025-04-27 23:08:17.929277,0 days 00:00:28.785816,16,0.23099898957505433,0.35095366138846334,0.0008728626424504028,168,49,COMPLETE
36,0.38799495697021485,2025-04-27 23:08:17.929513,2025-04-27 23:08:42.838526,0 days 00:00:24.909013,32,0.37033651851392385,0.1431408059316655,0.0012573744392503786,38,39,COMPLETE
37,0.3806775689125061,2025-04-27 23:08:42.838762,2025-04-27 23:09:15.676528,0 days 00:00:32.837766,32,0.3586951044276091,0.10437418339815097,0.0002141785476762458,32,26,COMPLETE
38,0.38734678626060487,2025-04-27 23:09:15.676757,2025-04-27 23:09:46.101642,0 days 00:00:30.424885,32,0.3266983072437098,0.12595419229062066,0.000520979844452136,51,53,COMPLETE
39,0.3867034733295441,2025-04-27 23:09:46.101877,2025-04-27 23:10:16.380143,0 days 00:00:30.278266,32,0.3303341084575722,0.13614353206187824,0.0005473577878521128,56,53,COMPLETE
40,0.3875611424446106,2025-04-27 23:10:16.380379,2025-04-27 23:10:35.656355,0 days 00:00:19.275976,32,0.37948214966779387,0.13120316066532214,0.001321503016698375,48,62,COMPLETE
41,0.38691713809967043,2025-04-27 23:10:35.656588,2025-04-27 23:10:54.292817,0 days 00:00:18.636229,32,0.3668761905737567,0.12847359042770543,0.0013448017032459398,47,61,COMPLETE
42,0.38304431438446046,2025-04-27 23:10:54.293047,2025-04-27 23:11:23.869543,0 days 00:00:29.576496,32,0.4120921222858933,0.16833850114856508,0.0008137618591954392,40,72,COMPLETE
43,0.38347442746162413,2025-04-27 23:11:23.869780,2025-04-27 23:11:40.588735,0 days 00:00:16.718955,32,0.3777521211588383,0.12671737270299716,0.00234596472446744,74,45,COMPLETE
44,0.3826139807701111,2025-04-27 23:11:40.588971,2025-04-27 23:12:06.200909,0 days 00:00:25.611938,32,0.2972607413841255,0.14942951988524,0.0013533944374316252,43,62,COMPLETE
45,0.38541083931922915,2025-04-27 23:12:06.201185,2025-04-27 23:12:37.658178,0 days 00:00:31.456993,32,0.31983363734186476,0.1110419452518159,0.0005210238492574089,66,43,COMPLETE
