number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_p,params_weights,state
42,0.34602960750952005,2025-04-27 21:59:13.897912,2025-04-27 21:59:13.941129,0 days 00:00:00.043217,euclidean,20,,distance,COMPLETE
43,0.3445230737178374,2025-04-27 21:59:13.941278,2025-04-27 21:59:13.983552,0 days 00:00:00.042274,euclidean,19,,distance,COMPLETE
44,0.33290530921212547,2025-04-27 21:59:13.983699,2025-04-27 21:59:14.024018,0 days 00:00:00.040319,euclidean,16,,distance,COMPLETE
45,0.34602960750952005,2025-04-27 21:59:14.024171,2025-04-27 21:59:14.067774,0 days 00:00:00.043603,euclidean,20,,distance,COMPLETE
46,0.3376360290287857,2025-04-27 21:59:14.067947,2025-04-27 21:59:14.121719,0 days 00:00:00.053772,minkowski,17,1.0,distance,COMPLETE
47,0.3445230737178374,2025-04-27 21:59:14.121881,2025-04-27 21:59:14.164244,0 days 00:00:00.042363,euclidean,19,,distance,COMPLETE
48,0.3443080199543965,2025-04-27 21:59:14.164398,2025-04-27 21:59:14.258849,0 days 00:00:00.094451,euclidean,20,,uniform,COMPLETE
49,0.3378524717293425,2025-04-27 21:59:14.259028,2025-04-27 21:59:14.300067,0 days 00:00:00.041039,euclidean,17,,distance,COMPLETE
50,0.3445230737178374,2025-04-27 21:59:14.300229,2025-04-27 21:59:14.342716,0 days 00:00:00.042487,euclidean,19,,distance,COMPLETE
51,0.34602960750952005,2025-04-27 21:59:14.342865,2025-04-27 21:59:14.385998,0 days 00:00:00.043133,euclidean,20,,distance,COMPLETE
52,0.34602960750952005,2025-04-27 21:59:14.386146,2025-04-27 21:59:14.429381,0 days 00:00:00.043235,euclidean,20,,distance,COMPLETE
53,0.3445230737178374,2025-04-27 21:59:14.429532,2025-04-27 21:59:14.472045,0 days 00:00:00.042513,euclidean,19,,distance,COMPLETE
54,0.34237068416727434,2025-04-27 21:59:14.472195,2025-04-27 21:59:14.514505,0 days 00:00:00.042310,euclidean,18,,distance,COMPLETE
55,0.3434480363901524,2025-04-27 21:59:14.514653,2025-04-27 21:59:14.987040,0 days 00:00:00.472387,minkowski,20,4.0,distance,COMPLETE
56,0.3378524717293425,2025-04-27 21:59:14.987222,2025-04-27 21:59:15.029048,0 days 00:00:00.041826,euclidean,17,,distance,COMPLETE
57,0.3445230737178374,2025-04-27 21:59:15.029206,2025-04-27 21:59:15.073153,0 days 00:00:00.043947,euclidean,19,,distance,COMPLETE
58,0.31396391078393926,2025-04-27 21:59:15.073326,2025-04-27 21:59:15.108815,0 days 00:00:00.035489,euclidean,9,,distance,COMPLETE
59,0.34237068416727434,2025-04-27 21:59:15.108976,2025-04-27 21:59:15.151408,0 days 00:00:00.042432,euclidean,18,,distance,COMPLETE
60,0.3443080199543965,2025-04-27 21:59:15.151557,2025-04-27 21:59:15.246686,0 days 00:00:00.095129,euclidean,20,,uniform,COMPLETE
61,0.34602960750952005,2025-04-27 21:59:15.246836,2025-04-27 21:59:15.290905,0 days 00:00:00.044069,euclidean,20,,distance,COMPLETE
62,0.3445230737178374,2025-04-27 21:59:15.291058,2025-04-27 21:59:15.334248,0 days 00:00:00.043190,euclidean,19,,distance,COMPLETE
63,0.34602960750952005,2025-04-27 21:59:15.334396,2025-04-27 21:59:15.378297,0 days 00:00:00.043901,euclidean,20,,distance,COMPLETE
64,0.34237068416727434,2025-04-27 21:59:15.378446,2025-04-27 21:59:15.420915,0 days 00:00:00.042469,euclidean,18,,distance,COMPLETE
65,0.3445230737178374,2025-04-27 21:59:15.421063,2025-04-27 21:59:15.464556,0 days 00:00:00.043493,euclidean,19,,distance,COMPLETE
66,0.3329043832540482,2025-04-27 21:59:15.464720,2025-04-27 21:59:15.505351,0 days 00:00:00.040631,euclidean,15,,distance,COMPLETE
67,0.3415107006030302,2025-04-27 21:59:15.505503,2025-04-27 21:59:15.560925,0 days 00:00:00.055422,manhattan,20,,distance,COMPLETE
68,0.34237068416727434,2025-04-27 21:59:15.561087,2025-04-27 21:59:15.604316,0 days 00:00:00.043229,euclidean,18,,distance,COMPLETE
69,0.3378524717293425,2025-04-27 21:59:15.604479,2025-04-27 21:59:15.647941,0 days 00:00:00.043462,minkowski,17,2.0,distance,COMPLETE
70,0.34237068416727434,2025-04-27 21:59:15.648103,2025-04-27 21:59:15.745785,0 days 00:00:00.097682,euclidean,19,,uniform,COMPLETE
71,0.34602960750952005,2025-04-27 21:59:15.745927,2025-04-27 21:59:15.790059,0 days 00:00:00.044132,euclidean,20,,distance,COMPLETE
72,0.34602960750952005,2025-04-27 21:59:15.790209,2025-04-27 21:59:15.834224,0 days 00:00:00.044015,euclidean,20,,distance,COMPLETE
73,0.3445230737178374,2025-04-27 21:59:15.834376,2025-04-27 21:59:15.877704,0 days 00:00:00.043328,euclidean,19,,distance,COMPLETE
74,0.34237068416727434,2025-04-27 21:59:15.877852,2025-04-27 21:59:15.920446,0 days 00:00:00.042594,euclidean,18,,distance,COMPLETE
75,0.34602960750952005,2025-04-27 21:59:15.920588,2025-04-27 21:59:15.964507,0 days 00:00:00.043919,euclidean,20,,distance,COMPLETE
76,0.3445230737178374,2025-04-27 21:59:15.964654,2025-04-27 21:59:16.011469,0 days 00:00:00.046815,euclidean,19,,distance,COMPLETE
77,0.29976179728462793,2025-04-27 21:59:16.011616,2025-04-27 21:59:16.055367,0 days 00:00:00.043751,manhattan,7,,distance,COMPLETE
78,0.32300311353403477,2025-04-27 21:59:16.055527,2025-04-27 21:59:16.093887,0 days 00:00:00.038360,euclidean,12,,distance,COMPLETE
79,0.34602960750952005,2025-04-27 21:59:16.094050,2025-04-27 21:59:16.138047,0 days 00:00:00.043997,euclidean,20,,distance,COMPLETE
80,0.3445230737178374,2025-04-27 21:59:16.138199,2025-04-27 21:59:16.181497,0 days 00:00:00.043298,euclidean,19,,distance,COMPLETE
81,0.34602960750952005,2025-04-27 21:59:16.181644,2025-04-27 21:59:16.225508,0 days 00:00:00.043864,euclidean,20,,distance,COMPLETE
82,0.34602960750952005,2025-04-27 21:59:16.225654,2025-04-27 21:59:16.269768,0 days 00:00:00.044114,euclidean,20,,distance,COMPLETE
