number,value,datetime_start,datetime_complete,duration,params_knn_weight,params_nn_weight,params_rf_weight,params_tabnet_weight,state
0,0.35542168674698793,2025-04-28 10:38:56.623591,2025-04-28 10:38:56.640189,0 days 00:00:00.016598,0.9882538465197256,0.02906197828573187,0.4718427859640766,0.350253112820035,COMPLETE
1,0.37349397590361444,2025-04-28 10:38:56.640326,2025-04-28 10:38:56.656700,0 days 00:00:00.016374,0.5483836286787467,0.3971105905280724,0.8189693333801443,0.5436415190809041,COMPLETE
2,0.36919104991394147,2025-04-28 10:38:56.656827,2025-04-28 10:38:56.673123,0 days 00:00:00.016296,0.5614826463742839,0.30261921834213534,0.9114961454153865,0.24303565749953382,COMPLETE
3,0.3717728055077453,2025-04-28 10:38:56.673241,2025-04-28 10:38:56.689545,0 days 00:00:00.016304,0.5229070994927943,0.8220626476873023,0.03916224455693118,0.7142023584895867,COMPLETE
4,0.35542168674698793,2025-04-28 10:38:56.689664,2025-04-28 10:38:56.705837,0 days 00:00:00.016173,0.9826116607241757,0.5121039844018721,0.18173515169437948,0.12357301779713803,COMPLETE
5,0.37349397590361444,2025-04-28 10:38:56.705954,2025-04-28 10:38:56.722015,0 days 00:00:00.016061,0.5849397333234918,0.4688940070695604,0.8662925918625813,0.5182477858195734,COMPLETE
6,0.37263339070567986,2025-04-28 10:38:56.722132,2025-04-28 10:38:56.738370,0 days 00:00:00.016238,0.19550533928669012,0.5157086380920486,0.04342126662028145,0.7269257082946592,COMPLETE
7,0.37005163511187605,2025-04-28 10:38:56.738488,2025-04-28 10:38:56.754557,0 days 00:00:00.016069,0.8590631857711619,0.4502059639954272,0.3255533569431702,0.42205588389817195,COMPLETE
8,0.37521514629948366,2025-04-28 10:38:56.754674,2025-04-28 10:38:56.771298,0 days 00:00:00.016624,0.7255808848609904,0.5858395549422208,0.3615619921839509,0.4465657706497579,COMPLETE
9,0.3683304647160069,2025-04-28 10:38:56.771413,2025-04-28 10:38:56.787835,0 days 00:00:00.016422,0.8704599181958834,0.9898426973006069,0.17818996917341356,0.36215075053681633,COMPLETE
10,0.3743545611015491,2025-04-28 10:38:56.787949,2025-04-28 10:38:56.809349,0 days 00:00:00.021400,0.2000539564150834,0.7263959118923949,0.6320476671165057,0.8819288283274526,COMPLETE
11,0.37263339070567986,2025-04-28 10:38:56.809470,2025-04-28 10:38:56.830992,0 days 00:00:00.021522,0.009800662823940987,0.7092189521125698,0.6508511829772483,0.9522045837748556,COMPLETE
12,0.3743545611015491,2025-04-28 10:38:56.831112,2025-04-28 10:38:56.852445,0 days 00:00:00.021333,0.2938153537171566,0.7267636576765221,0.5979951382699689,0.9882661457047612,COMPLETE
13,0.37349397590361444,2025-04-28 10:38:56.852569,2025-04-28 10:38:56.874137,0 days 00:00:00.021568,0.3188856191712437,0.6506418541659239,0.4360817380895041,0.7327022934264034,COMPLETE
14,0.3717728055077453,2025-04-28 10:38:56.874274,2025-04-28 10:38:56.895626,0 days 00:00:00.021352,0.716914185370831,0.9387123971857275,0.6799056221662678,0.6304297740264709,COMPLETE
15,0.37005163511187605,2025-04-28 10:38:56.895745,2025-04-28 10:38:56.917682,0 days 00:00:00.021937,0.00812870718441197,0.23483447800577406,0.3488053170890066,0.8682037519142086,COMPLETE
16,0.3709122203098107,2025-04-28 10:38:56.917805,2025-04-28 10:38:56.939136,0 days 00:00:00.021331,0.708923646843259,0.6117794434699515,0.7591927188833762,0.005746565559658134,COMPLETE
17,0.3683304647160069,2025-04-28 10:38:56.939257,2025-04-28 10:38:56.960560,0 days 00:00:00.021303,0.39706201126449375,0.8415550409023271,0.5775233800493695,0.21993346039600414,COMPLETE
