number,value,datetime_start,datetime_complete,duration,params_knn_weight,params_nn_weight,params_rf_weight,params_tabnet_weight,state
12,0.5378657487091222,2025-04-28 23:03:37.548129,2025-04-28 23:03:37.571563,0 days 00:00:00.023434,0.0053139252751675525,0.955396703654878,0.6395829426453765,0.5869866028872818,COMPLETE
13,0.5378657487091222,2025-04-28 23:03:37.571796,2025-04-28 23:03:37.595278,0 days 00:00:00.023482,0.17515155364240387,0.9991069095774949,0.6381366558399939,0.6591089424068496,COMPLETE
14,0.5309810671256454,2025-04-28 23:03:37.595963,2025-04-28 23:03:37.619429,0 days 00:00:00.023466,0.18498916498327356,0.6023396679882709,0.7325786682541431,0.41786815674674127,COMPLETE
15,0.5327022375215146,2025-04-28 23:03:37.619670,2025-04-28 23:03:37.643421,0 days 00:00:00.023751,0.23051216051357068,0.8468414817502383,0.2544753049007632,0.5702114072295731,COMPLETE
16,0.5129087779690189,2025-04-28 23:03:37.643647,2025-04-28 23:03:37.666649,0 days 00:00:00.023002,0.5757285277060954,0.06857224666910045,0.5429438391312637,0.6884066906629159,COMPLETE
17,0.5378657487091222,2025-04-28 23:03:37.666861,2025-04-28 23:03:37.689988,0 days 00:00:00.023127,0.015876215994898635,0.8830781755272662,0.7059102907752266,0.4644206868351068,COMPLETE
18,0.5309810671256454,2025-04-28 23:03:37.690237,2025-04-28 23:03:37.713958,0 days 00:00:00.023721,0.2623072026629753,0.6350349318203525,0.4575036809469898,0.9821509999814728,COMPLETE
19,0.5163511187607573,2025-04-28 23:03:37.714194,2025-04-28 23:03:37.737776,0 days 00:00:00.023582,0.1137131793255235,0.6906156746288444,0.8208224293389486,0.025932770971044072,COMPLETE
20,0.5189328743545611,2025-04-28 23:03:37.738010,2025-04-28 23:03:37.761653,0 days 00:00:00.023643,0.5529272639090371,0.8767457818215525,0.6298032533331781,0.17384170446714253,COMPLETE
21,0.5378657487091222,2025-04-28 23:03:37.761881,2025-04-28 23:03:37.785596,0 days 00:00:00.023715,0.005623155011462053,0.9398708557607197,0.67386350001165,0.59835080916007,COMPLETE
22,0.5378657487091222,2025-04-28 23:03:37.785822,2025-04-28 23:03:37.809482,0 days 00:00:00.023660,0.09675654497855422,0.9931994849478352,0.6052329777238179,0.5958139558385139,COMPLETE
23,0.5378657487091222,2025-04-28 23:03:37.809709,2025-04-28 23:03:37.833637,0 days 00:00:00.023928,0.007166189026168279,0.8771718825220539,0.7667473980910015,0.4998972346638629,COMPLETE
24,0.5370051635111877,2025-04-28 23:03:37.833862,2025-04-28 23:03:37.857422,0 days 00:00:00.023560,0.11373300455671835,0.8138421965585901,0.4266197305312045,0.7533834804004503,COMPLETE
25,0.5327022375215146,2025-04-28 23:03:37.857648,2025-04-28 23:03:37.881193,0 days 00:00:00.023545,0.27915323402441583,0.9213332143101418,0.5369979514287436,0.3672089321538815,COMPLETE
26,0.5309810671256454,2025-04-28 23:03:37.881424,2025-04-28 23:03:37.907570,0 days 00:00:00.026146,0.18622858568819484,0.7106429118309805,0.8493319819075831,0.6380697588550733,COMPLETE
27,0.5327022375215146,2025-04-28 23:03:37.907822,2025-04-28 23:03:37.931670,0 days 00:00:00.023848,0.08176339347755744,0.9193721113841231,0.3078212875756264,0.5392232789204643,COMPLETE
28,0.5335628227194492,2025-04-28 23:03:37.931903,2025-04-28 23:03:37.955684,0 days 00:00:00.023781,0.15966826968117154,0.5063562934413328,0.5886996464892448,0.8425282654606792,COMPLETE
29,0.5301204819277109,2025-04-28 23:03:37.955912,2025-04-28 23:03:37.979421,0 days 00:00:00.023509,0.056489464757491614,0.7607053777990365,0.7781390466717147,0.7402673371202297,COMPLETE
30,0.5370051635111877,2025-04-28 23:03:37.979649,2025-04-28 23:03:38.003126,0 days 00:00:00.023477,0.23835624957870388,0.9929433905465433,0.7039047277450577,0.9175677542613657,COMPLETE
31,0.5378657487091222,2025-04-28 23:03:38.003355,2025-04-28 23:03:38.026693,0 days 00:00:00.023338,0.16727791051533747,0.980872061449623,0.6476828390071008,0.6501974671406048,COMPLETE
