number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
31,0.5397006840515296,2025-04-28 00:36:03.920310,2025-04-28 00:37:23.318059,0 days 00:01:19.397749,64,1.9605283759579493,0.00719387549734355,0.006932817026679139,14,60,2,COMPLETE
32,0.539702535967684,2025-04-28 00:37:23.318298,2025-04-28 00:38:46.365038,0 days 00:01:23.046740,64,1.9995315499365451,0.0045402614560779864,0.006821643782383876,14,61,2,COMPLETE
33,0.5300163200111114,2025-04-28 00:38:46.365254,2025-04-28 00:40:04.665613,0 days 00:01:18.300359,64,1.9787918508806621,0.002345384597283801,0.0028597394303311384,15,52,2,COMPLETE
34,0.5173202773244442,2025-04-28 00:40:04.665841,2025-04-28 00:40:26.022206,0 days 00:00:21.356365,256,1.9651415290298735,0.0043236793822486914,0.005789139210480358,16,61,2,COMPLETE
35,0.5298010347581513,2025-04-28 00:40:26.022424,2025-04-28 00:42:24.943081,0 days 00:01:58.920657,64,1.841608725864353,0.0012735777931805233,0.003735524980690362,21,48,3,COMPLETE
36,0.5328127134044006,2025-04-28 00:42:24.943307,2025-04-28 00:44:11.262755,0 days 00:01:46.319448,64,1.994639671661476,0.0030077874694194196,0.0022570736099066235,13,20,2,COMPLETE
37,0.5274379897450143,2025-04-28 00:44:11.262985,2025-04-28 00:44:36.509076,0 days 00:00:25.246091,256,1.1555390954363796,0.004695220760322461,0.007264234735795464,20,55,3,COMPLETE
38,0.5364732571732815,2025-04-28 00:44:36.509298,2025-04-28 00:46:57.906381,0 days 00:02:21.397083,64,1.998409445002793,0.0009620316169723922,0.005317921777085316,17,23,4,COMPLETE
39,0.5392733543988796,2025-04-28 00:46:57.906603,2025-04-28 00:48:37.368162,0 days 00:01:39.461559,64,1.895533291261318,0.0002851938049922112,0.003113285328926183,23,36,2,COMPLETE
40,0.47923261224348074,2025-04-28 00:48:37.368393,2025-04-28 00:50:11.578885,0 days 00:01:34.210492,128,1.7903218208181828,0.0017631741299127671,0.00039080115032678946,29,64,4,COMPLETE
41,0.5328150282995938,2025-04-28 00:50:11.579111,2025-04-28 00:51:18.929537,0 days 00:01:07.350426,64,1.9092462907081864,0.007211250038174211,0.0070300439502018605,12,61,2,COMPLETE
