feature,importance
Ht,0.15040927660112466
Wt,0.4611896349446935
40yd,0.1027564210845407
Vertical,0.025853187796049563
Bench,0.09149070036275042
Broad Jump,0.0333722859782132
3Cone,0.040186988913971364
Shuttle,0.06781091228731756
Round,0.026930592031339046
