number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_p,params_weights,state
42,0.47084713589592236,2025-04-27 21:59:00.433525,2025-04-27 21:59:00.604106,0 days 00:00:00.170581,manhattan,11,,uniform,COMPLETE
43,0.48526129379492344,2025-04-27 21:59:00.604273,2025-04-27 21:59:00.778497,0 days 00:00:00.174224,manhattan,15,,uniform,COMPLETE
44,0.48225100408579,2025-04-27 21:59:00.778630,2025-04-27 21:59:00.955145,0 days 00:00:00.176515,manhattan,17,,uniform,COMPLETE
45,0.4822533189809831,2025-04-27 21:59:00.955272,2025-04-27 21:59:01.129957,0 days 00:00:00.174685,manhattan,14,,uniform,COMPLETE
46,0.4755801706077758,2025-04-27 21:59:01.130125,2025-04-27 21:59:01.255373,0 days 00:00:00.125248,manhattan,13,,distance,COMPLETE
47,0.47019942822088734,2025-04-27 21:59:01.255513,2025-04-27 21:59:01.390161,0 days 00:00:00.134648,minkowski,14,2.0,uniform,COMPLETE
48,0.48526129379492344,2025-04-27 21:59:01.390332,2025-04-27 21:59:01.564851,0 days 00:00:00.174519,manhattan,15,,uniform,COMPLETE
49,0.47084713589592236,2025-04-27 21:59:01.565016,2025-04-27 21:59:01.734856,0 days 00:00:00.169840,manhattan,11,,uniform,COMPLETE
50,0.48031343680914845,2025-04-27 21:59:01.735013,2025-04-27 21:59:01.867936,0 days 00:00:00.132923,manhattan,19,,distance,COMPLETE
51,0.48375661191939534,2025-04-27 21:59:01.868070,2025-04-27 21:59:02.044041,0 days 00:00:00.175971,manhattan,16,,uniform,COMPLETE
52,0.48526129379492344,2025-04-27 21:59:02.044181,2025-04-27 21:59:02.221122,0 days 00:00:00.176941,manhattan,15,,uniform,COMPLETE
53,0.48225100408579,2025-04-27 21:59:02.221289,2025-04-27 21:59:02.399259,0 days 00:00:00.177970,manhattan,17,,uniform,COMPLETE
54,0.4822533189809831,2025-04-27 21:59:02.399407,2025-04-27 21:59:02.574006,0 days 00:00:00.174599,manhattan,14,,uniform,COMPLETE
55,0.48375661191939534,2025-04-27 21:59:02.574177,2025-04-27 21:59:02.750572,0 days 00:00:00.176395,manhattan,16,,uniform,COMPLETE
56,0.4725643251501789,2025-04-27 21:59:02.750717,2025-04-27 21:59:02.921703,0 days 00:00:00.170986,manhattan,12,,uniform,COMPLETE
57,0.471277243422804,2025-04-27 21:59:02.921842,2025-04-27 21:59:03.057368,0 days 00:00:00.135526,euclidean,15,,uniform,COMPLETE
58,0.4686956723034365,2025-04-27 21:59:03.057518,2025-04-27 21:59:03.518388,0 days 00:00:00.460870,minkowski,17,3.0,distance,COMPLETE
59,0.4704133245367316,2025-04-27 21:59:03.518563,2025-04-27 21:59:03.691459,0 days 00:00:00.172896,manhattan,13,,uniform,COMPLETE
60,0.477731171221223,2025-04-27 21:59:03.691623,2025-04-27 21:59:03.871146,0 days 00:00:00.179523,manhattan,19,,uniform,COMPLETE
61,0.48526129379492344,2025-04-27 21:59:03.871281,2025-04-27 21:59:04.045782,0 days 00:00:00.174501,manhattan,15,,uniform,COMPLETE
62,0.48375661191939534,2025-04-27 21:59:04.045910,2025-04-27 21:59:04.222609,0 days 00:00:00.176699,manhattan,16,,uniform,COMPLETE
63,0.4822533189809831,2025-04-27 21:59:04.222773,2025-04-27 21:59:04.396305,0 days 00:00:00.173532,manhattan,14,,uniform,COMPLETE
64,0.48526129379492344,2025-04-27 21:59:04.396443,2025-04-27 21:59:04.571541,0 days 00:00:00.175098,manhattan,15,,uniform,COMPLETE
65,0.4800972255981111,2025-04-27 21:59:04.571705,2025-04-27 21:59:04.750510,0 days 00:00:00.178805,manhattan,18,,uniform,COMPLETE
66,0.4704133245367316,2025-04-27 21:59:04.750671,2025-04-27 21:59:04.922703,0 days 00:00:00.172032,manhattan,13,,uniform,COMPLETE
67,0.48375661191939534,2025-04-27 21:59:04.922838,2025-04-27 21:59:05.099450,0 days 00:00:00.176612,manhattan,16,,uniform,COMPLETE
68,0.45707327800733816,2025-04-27 21:59:05.099618,2025-04-27 21:59:05.230979,0 days 00:00:00.131361,euclidean,12,,uniform,COMPLETE
69,0.4863370255911663,2025-04-27 21:59:05.231116,2025-04-27 21:59:05.359513,0 days 00:00:00.128397,manhattan,15,,distance,COMPLETE
70,0.4809618389527414,2025-04-27 21:59:05.359646,2025-04-27 21:59:05.488057,0 days 00:00:00.128411,minkowski,14,1.0,distance,COMPLETE
71,0.4863370255911663,2025-04-27 21:59:05.488191,2025-04-27 21:59:05.617201,0 days 00:00:00.129010,manhattan,15,,distance,COMPLETE
72,0.48203595032234914,2025-04-27 21:59:05.617367,2025-04-27 21:59:05.748187,0 days 00:00:00.130820,manhattan,17,,distance,COMPLETE
73,0.48504577705244395,2025-04-27 21:59:05.748323,2025-04-27 21:59:05.877764,0 days 00:00:00.129441,manhattan,16,,distance,COMPLETE
74,0.4256515851244835,2025-04-27 21:59:05.877906,2025-04-27 21:59:05.987315,0 days 00:00:00.109409,manhattan,5,,distance,COMPLETE
75,0.4809618389527414,2025-04-27 21:59:05.987446,2025-04-27 21:59:06.115269,0 days 00:00:00.127823,manhattan,14,,distance,COMPLETE
76,0.4863370255911663,2025-04-27 21:59:06.115417,2025-04-27 21:59:06.243844,0 days 00:00:00.128427,manhattan,15,,distance,COMPLETE
77,0.4755801706077758,2025-04-27 21:59:06.243978,2025-04-27 21:59:06.368786,0 days 00:00:00.124808,manhattan,13,,distance,COMPLETE
78,0.48203595032234914,2025-04-27 21:59:06.368910,2025-04-27 21:59:06.499825,0 days 00:00:00.130915,manhattan,17,,distance,COMPLETE
79,0.4818204335798697,2025-04-27 21:59:06.499961,2025-04-27 21:59:06.632383,0 days 00:00:00.132422,manhattan,18,,distance,COMPLETE
80,0.4773040730580923,2025-04-27 21:59:06.632548,2025-04-27 21:59:06.721157,0 days 00:00:00.088609,euclidean,15,,distance,COMPLETE
81,0.4809618389527414,2025-04-27 21:59:06.721289,2025-04-27 21:59:06.847823,0 days 00:00:00.126534,manhattan,14,,distance,COMPLETE
82,0.4863370255911663,2025-04-27 21:59:06.847945,2025-04-27 21:59:06.984969,0 days 00:00:00.137024,manhattan,15,,distance,COMPLETE
83,0.4863370255911663,2025-04-27 21:59:06.985175,2025-04-27 21:59:07.121500,0 days 00:00:00.136325,manhattan,15,,distance,COMPLETE
84,0.48504577705244395,2025-04-27 21:59:07.121673,2025-04-27 21:59:07.251619,0 days 00:00:00.129946,manhattan,16,,distance,COMPLETE
85,0.4809618389527414,2025-04-27 21:59:07.251758,2025-04-27 21:59:07.378368,0 days 00:00:00.126610,manhattan,14,,distance,COMPLETE
86,0.474935703786011,2025-04-27 21:59:07.378497,2025-04-27 21:59:07.502042,0 days 00:00:00.123545,manhattan,12,,distance,COMPLETE
87,0.4863370255911663,2025-04-27 21:59:07.502170,2025-04-27 21:59:07.631227,0 days 00:00:00.129057,manhattan,15,,distance,COMPLETE
88,0.48504577705244395,2025-04-27 21:59:07.631377,2025-04-27 21:59:07.760889,0 days 00:00:00.129512,manhattan,16,,distance,COMPLETE
89,0.4465266155074829,2025-04-27 21:59:07.761030,2025-04-27 21:59:08.157459,0 days 00:00:00.396429,minkowski,9,3.0,distance,COMPLETE
90,0.48504577705244395,2025-04-27 21:59:08.157623,2025-04-27 21:59:08.287662,0 days 00:00:00.130039,manhattan,16,,distance,COMPLETE
91,0.4863370255911663,2025-04-27 21:59:08.287819,2025-04-27 21:59:08.415950,0 days 00:00:00.128131,manhattan,15,,distance,COMPLETE
92,0.4863370255911663,2025-04-27 21:59:08.416081,2025-04-27 21:59:08.544293,0 days 00:00:00.128212,manhattan,15,,distance,COMPLETE
93,0.4863370255911663,2025-04-27 21:59:08.544418,2025-04-27 21:59:08.674081,0 days 00:00:00.129663,manhattan,15,,distance,COMPLETE
94,0.4863370255911663,2025-04-27 21:59:08.674246,2025-04-27 21:59:08.802439,0 days 00:00:00.128193,manhattan,15,,distance,COMPLETE
95,0.4809618389527414,2025-04-27 21:59:08.802572,2025-04-27 21:59:08.929169,0 days 00:00:00.126597,manhattan,14,,distance,COMPLETE
96,0.4755801706077758,2025-04-27 21:59:08.929306,2025-04-27 21:59:09.054737,0 days 00:00:00.125431,manhattan,13,,distance,COMPLETE
97,0.4863370255911663,2025-04-27 21:59:09.054871,2025-04-27 21:59:09.183907,0 days 00:00:00.129036,manhattan,15,,distance,COMPLETE
98,0.48203595032234914,2025-04-27 21:59:09.184065,2025-04-27 21:59:09.314964,0 days 00:00:00.130899,manhattan,17,,distance,COMPLETE
99,0.36905355510029286,2025-04-27 21:59:09.315102,2025-04-27 21:59:09.412746,0 days 00:00:00.097644,manhattan,2,,distance,COMPLETE
